"dbVersion=1"
"table=SalesItems"
"si_id","item_label","item_description","picture_url","multi_selectable_items","parent_category","price","page"
"1","Noodles1","","content://com.android.providers.media.documents/document/image%3A39","1","-1","0","0"
"2","Bubble Teas1","","content://com.android.providers.media.documents/document/image%3A38","1","-1","0","0"
"3","Udon Noodles1","Udon Noodles","content://com.android.providers.media.documents/document/image%3A39","1","1","245","1"
"4","Vermicelli1","Vermicello","","1","1","259","1"
"5","Rice1","Jasmin rice","content://com.android.providers.media.documents/document/image%3A38","1","1","125","1"
"6","Egg noodles1","Egg noodles","content://com.android.providers.media.documents/document/image%3A39","1","1","345","1"
"7","Spicy noodles1","Spiceeeyyy","content://com.android.providers.media.documents/document/image%3A38","1","1","234","1"
"8","Watermelon bubble1","Watermelon bubble tea","content://com.android.providers.media.documents/document/image%3A38","1","2","234","1"
"9","QAA1","qq","content://com.android.providers.media.documents/document/image%3A39","1","-1","0","0"
"10","Spicy Seaweed1","seaweed","content://com.android.providers.media.documents/document/image%3A39","100","1","58","2"
"11","Chilli1","chilli","content://com.android.providers.media.documents/document/image%3A39","100","1","45","2"
